Element, histo.bin, histo.cdf
0, 0,  0
1, 0,  0
2, 0,  0
3, 0,  0
4, 0,  0
5, 0,  0
6, 0,  0
7, 2,  7.62939e-06
8, 7,  2.67029e-05
9, 28,  0.000106812
10, 48,  0.000183105
11, 86,  0.000328064
12, 159,  0.000606537
13, 252,  0.000961304
14, 387,  0.00147629
15, 535,  0.00204086
16, 764,  0.00291443
17, 1006,  0.00383759
18, 1362,  0.00519562
19, 1796,  0.0068512
20, 2302,  0.00878143
21, 2898,  0.011055
22, 3606,  0.0137558
23, 4499,  0.0171623
24, 5452,  0.0207977
25, 6602,  0.0251846
26, 7886,  0.0300827
27, 9365,  0.0357246
28, 10942,  0.0417404
29, 12564,  0.0479279
30, 14359,  0.0547752
31, 16149,  0.0616035
32, 17996,  0.0686493
33, 19885,  0.0758553
34, 21732,  0.082901
35, 23587,  0.0899773
36, 25274,  0.0964127
37, 26941,  0.102772
38, 28538,  0.108864
39, 29983,  0.114376
40, 31412,  0.119827
41, 32835,  0.125256
42, 34219,  0.130535
43, 35545,  0.135593
44, 36715,  0.140057
45, 37812,  0.144241
46, 38919,  0.148464
47, 39881,  0.152134
48, 40763,  0.155499
49, 41612,  0.158737
50, 42482,  0.162056
51, 43242,  0.164955
52, 44043,  0.168011
53, 44757,  0.170734
54, 45430,  0.173302
55, 46136,  0.175995
56, 46830,  0.178642
57, 47507,  0.181225
58, 48236,  0.184006
59, 48975,  0.186825
60, 49713,  0.18964
61, 50346,  0.192055
62, 51084,  0.19487
63, 51843,  0.197765
64, 52641,  0.200809
65, 53409,  0.203739
66, 54115,  0.206432
67, 54901,  0.209431
68, 55712,  0.212524
69, 56512,  0.215576
70, 57361,  0.218815
71, 58131,  0.221752
72, 58864,  0.224548
73, 59687,  0.227688
74, 60496,  0.230774
75, 61335,  0.233974
76, 62197,  0.237263
77, 63058,  0.240547
78, 63941,  0.243916
79, 64881,  0.247501
80, 65859,  0.251232
81, 66844,  0.25499
82, 67885,  0.258961
83, 68978,  0.26313
84, 70104,  0.267426
85, 71225,  0.271702
86, 72463,  0.276424
87, 73826,  0.281624
88, 75246,  0.287041
89, 76798,  0.292961
90, 78419,  0.299145
91, 80133,  0.305683
92, 81953,  0.312626
93, 83681,  0.319218
94, 85497,  0.326145
95, 87212,  0.332687
96, 88915,  0.339184
97, 90526,  0.345329
98, 91999,  0.350948
99, 93480,  0.356598
100, 94792,  0.361603
101, 96078,  0.366508
102, 97278,  0.371086
103, 98401,  0.37537
104, 99580,  0.379868
105, 100708,  0.384171
106, 101866,  0.388588
107, 103043,  0.393078
108, 104285,  0.397816
109, 105494,  0.402428
110, 106692,  0.406998
111, 107982,  0.411919
112, 109269,  0.416828
113, 110696,  0.422272
114, 112142,  0.427788
115, 113528,  0.433075
116, 115021,  0.43877
117, 116656,  0.445007
118, 118307,  0.451305
119, 120012,  0.457809
120, 121884,  0.464951
121, 123805,  0.472279
122, 125973,  0.480549
123, 128088,  0.488617
124, 130271,  0.496944
125, 132550,  0.505638
126, 134689,  0.513798
127, 136840,  0.522003
128, 138822,  0.529564
129, 140750,  0.536919
130, 142545,  0.543766
131, 144320,  0.550537
132, 146031,  0.557064
133, 147677,  0.563343
134, 149325,  0.56963
135, 151197,  0.576771
136, 153129,  0.584141
137, 155178,  0.591957
138, 157356,  0.600266
139, 159600,  0.608826
140, 161858,  0.617439
141, 164112,  0.626038
142, 166342,  0.634544
143, 168556,  0.64299
144, 170643,  0.650951
145, 172774,  0.659081
146, 174811,  0.666851
147, 176955,  0.67503
148, 179027,  0.682934
149, 181112,  0.690887
150, 183270,  0.69912
151, 185524,  0.707718
152, 187901,  0.716785
153, 190327,  0.72604
154, 192769,  0.735355
155, 195230,  0.744743
156, 197565,  0.753651
157, 199745,  0.761967
158, 201856,  0.77002
159, 203781,  0.777363
160, 205499,  0.783916
161, 207090,  0.789986
162, 208595,  0.795727
163, 209969,  0.800968
164, 211248,  0.805847
165, 212495,  0.810604
166, 213654,  0.815025
167, 214784,  0.819336
168, 215918,  0.823662
169, 217012,  0.827835
170, 218080,  0.831909
171, 219158,  0.836021
172, 220260,  0.840225
173, 221386,  0.844521
174, 222547,  0.848949
175, 223658,  0.853188
176, 224818,  0.857613
177, 225936,  0.861877
178, 227084,  0.866257
179, 228115,  0.87019
180, 229027,  0.873669
181, 229943,  0.877163
182, 230734,  0.88018
183, 231462,  0.882957
184, 232077,  0.885303
185, 232668,  0.887558
186, 233218,  0.889656
187, 233798,  0.891869
188, 234387,  0.894115
189, 234952,  0.896271
190, 235525,  0.898457
191, 236202,  0.901039
192, 236925,  0.903797
193, 237690,  0.906715
194, 238508,  0.909836
195, 239348,  0.91304
196, 240262,  0.916527
197, 241118,  0.919792
198, 242026,  0.923256
199, 242868,  0.926468
200, 243644,  0.929428
201, 244440,  0.932465
202, 245269,  0.935627
203, 246083,  0.938732
204, 246872,  0.941742
205, 247666,  0.944771
206, 248484,  0.947891
207, 249272,  0.950897
208, 250047,  0.953854
209, 250891,  0.957073
210, 251804,  0.960556
211, 252760,  0.964203
212, 253682,  0.96772
213, 254579,  0.971142
214, 255456,  0.974487
215, 256343,  0.977871
216, 257217,  0.981205
217, 257936,  0.983948
218, 258528,  0.986206
219, 259026,  0.988106
220, 259441,  0.989689
221, 259806,  0.991081
222, 260146,  0.992378
223, 260418,  0.993416
224, 260660,  0.994339
225, 260862,  0.99511
226, 261064,  0.99588
227, 261225,  0.996494
228, 261360,  0.997009
229, 261440,  0.997314
230, 261510,  0.997581
231, 261556,  0.997757
232, 261598,  0.997917
233, 261634,  0.998055
234, 261659,  0.99815
235, 261679,  0.998226
236, 261691,  0.998272
237, 261698,  0.998299
238, 261703,  0.998318
239, 261709,  0.998341
240, 261713,  0.998356
241, 261713,  0.998356
242, 261713,  0.998356
243, 261713,  0.998356
244, 261714,  0.99836
245, 261714,  0.99836
246, 261714,  0.99836
247, 261715,  0.998363
248, 261716,  0.998367
249, 261716,  0.998367
250, 261717,  0.998371
251, 261718,  0.998375
252, 261718,  0.998375
253, 261718,  0.998375
254, 261718,  0.998375
255, 262144,  1
