Element, histo.bin, histo.cdf
0, 0,  0
1, 0,  0
2, 0,  0
3, 0,  0
4, 0,  0
5, 0,  0
6, 0,  0
7, 2,  7.62939e-06
8, 5,  2.67029e-05
9, 21,  0.000106812
10, 20,  0.000183105
11, 38,  0.000328064
12, 73,  0.000606537
13, 93,  0.000961304
14, 135,  0.00147629
15, 148,  0.00204086
16, 229,  0.00291443
17, 242,  0.00383759
18, 356,  0.00519562
19, 434,  0.0068512
20, 506,  0.00878143
21, 596,  0.011055
22, 708,  0.0137558
23, 893,  0.0171623
24, 953,  0.0207977
25, 1150,  0.0251846
26, 1284,  0.0300827
27, 1479,  0.0357246
28, 1577,  0.0417404
29, 1622,  0.0479279
30, 1795,  0.0547752
31, 1790,  0.0616035
32, 1847,  0.0686493
33, 1889,  0.0758553
34, 1847,  0.082901
35, 1855,  0.0899773
36, 1687,  0.0964127
37, 1667,  0.102772
38, 1597,  0.108864
39, 1445,  0.114376
40, 1429,  0.119827
41, 1423,  0.125256
42, 1384,  0.130535
43, 1326,  0.135593
44, 1170,  0.140057
45, 1097,  0.144241
46, 1107,  0.148464
47, 962,  0.152134
48, 882,  0.155499
49, 849,  0.158737
50, 870,  0.162056
51, 760,  0.164955
52, 801,  0.168011
53, 714,  0.170734
54, 673,  0.173302
55, 706,  0.175995
56, 694,  0.178642
57, 677,  0.181225
58, 729,  0.184006
59, 739,  0.186825
60, 738,  0.18964
61, 633,  0.192055
62, 738,  0.19487
63, 759,  0.197765
64, 798,  0.200809
65, 768,  0.203739
66, 706,  0.206432
67, 786,  0.209431
68, 811,  0.212524
69, 800,  0.215576
70, 849,  0.218815
71, 770,  0.221752
72, 733,  0.224548
73, 823,  0.227688
74, 809,  0.230774
75, 839,  0.233974
76, 862,  0.237263
77, 861,  0.240547
78, 883,  0.243916
79, 940,  0.247501
80, 978,  0.251232
81, 985,  0.25499
82, 1041,  0.258961
83, 1093,  0.26313
84, 1126,  0.267426
85, 1121,  0.271702
86, 1238,  0.276424
87, 1363,  0.281624
88, 1420,  0.287041
89, 1552,  0.292961
90, 1621,  0.299145
91, 1714,  0.305683
92, 1820,  0.312626
93, 1728,  0.319218
94, 1816,  0.326145
95, 1715,  0.332687
96, 1703,  0.339184
97, 1611,  0.345329
98, 1473,  0.350948
99, 1481,  0.356598
100, 1312,  0.361603
101, 1286,  0.366508
102, 1200,  0.371086
103, 1123,  0.37537
104, 1179,  0.379868
105, 1128,  0.384171
106, 1158,  0.388588
107, 1177,  0.393078
108, 1242,  0.397816
109, 1209,  0.402428
110, 1198,  0.406998
111, 1290,  0.411919
112, 1287,  0.416828
113, 1427,  0.422272
114, 1446,  0.427788
115, 1386,  0.433075
116, 1493,  0.43877
117, 1635,  0.445007
118, 1651,  0.451305
119, 1705,  0.457809
120, 1872,  0.464951
121, 1921,  0.472279
122, 2168,  0.480549
123, 2115,  0.488617
124, 2183,  0.496944
125, 2279,  0.505638
126, 2139,  0.513798
127, 2151,  0.522003
128, 1982,  0.529564
129, 1928,  0.536919
130, 1795,  0.543766
131, 1775,  0.550537
132, 1711,  0.557064
133, 1646,  0.563343
134, 1648,  0.56963
135, 1872,  0.576771
136, 1932,  0.584141
137, 2049,  0.591957
138, 2178,  0.600266
139, 2244,  0.608826
140, 2258,  0.617439
141, 2254,  0.626038
142, 2230,  0.634544
143, 2214,  0.64299
144, 2087,  0.650951
145, 2131,  0.659081
146, 2037,  0.666851
147, 2144,  0.67503
148, 2072,  0.682934
149, 2085,  0.690887
150, 2158,  0.69912
151, 2254,  0.707718
152, 2377,  0.716785
153, 2426,  0.72604
154, 2442,  0.735355
155, 2461,  0.744743
156, 2335,  0.753651
157, 2180,  0.761967
158, 2111,  0.77002
159, 1925,  0.777363
160, 1718,  0.783916
161, 1591,  0.789986
162, 1505,  0.795727
163, 1374,  0.800968
164, 1279,  0.805847
165, 1247,  0.810604
166, 1159,  0.815025
167, 1130,  0.819336
168, 1134,  0.823662
169, 1094,  0.827835
170, 1068,  0.831909
171, 1078,  0.836021
172, 1102,  0.840225
173, 1126,  0.844521
174, 1161,  0.848949
175, 1111,  0.853188
176, 1160,  0.857613
177, 1118,  0.861877
178, 1148,  0.866257
179, 1031,  0.87019
180, 912,  0.873669
181, 916,  0.877163
182, 791,  0.88018
183, 728,  0.882957
184, 615,  0.885303
185, 591,  0.887558
186, 550,  0.889656
187, 580,  0.891869
188, 589,  0.894115
189, 565,  0.896271
190, 573,  0.898457
191, 677,  0.901039
192, 723,  0.903797
193, 765,  0.906715
194, 818,  0.909836
195, 840,  0.91304
196, 914,  0.916527
197, 856,  0.919792
198, 908,  0.923256
199, 842,  0.926468
200, 776,  0.929428
201, 796,  0.932465
202, 829,  0.935627
203, 814,  0.938732
204, 789,  0.941742
205, 794,  0.944771
206, 818,  0.947891
207, 788,  0.950897
208, 775,  0.953854
209, 844,  0.957073
210, 913,  0.960556
211, 956,  0.964203
212, 922,  0.96772
213, 897,  0.971142
214, 877,  0.974487
215, 887,  0.977871
216, 874,  0.981205
217, 719,  0.983948
218, 592,  0.986206
219, 498,  0.988106
220, 415,  0.989689
221, 365,  0.991081
222, 340,  0.992378
223, 272,  0.993416
224, 242,  0.994339
225, 202,  0.99511
226, 202,  0.99588
227, 161,  0.996494
228, 135,  0.997009
229, 80,  0.997314
230, 70,  0.997581
231, 46,  0.997757
232, 42,  0.997917
233, 36,  0.998055
234, 25,  0.99815
235, 20,  0.998226
236, 12,  0.998272
237, 7,  0.998299
238, 5,  0.998318
239, 6,  0.998341
240, 4,  0.998356
241, 0,  0.998356
242, 0,  0.998356
243, 0,  0.998356
244, 1,  0.99836
245, 0,  0.99836
246, 0,  0.99836
247, 1,  0.998363
248, 1,  0.998367
249, 0,  0.998367
250, 1,  0.998371
251, 1,  0.998375
252, 0,  0.998375
253, 0,  0.998375
254, 0,  0.998375
255, 426,  1
